metric,value,unit,year,source_id,notes
ipea_occupied_share_bf_2023,46.8,percent,2023,25,Occupied share in BF households 2023
selic_1pp_cost,55000000000,BRL_per_year,2024,26,"Approx annual cost of 1 p.p. Selic (BC estimate)"
selic_debt_share_floating,54.2,percent,2026,29,"Share of gross debt indexed to Selic (illustrative recent)"
bf_domicilios_share,17.2,percent,2025,28,Share of Brazilian households receiving BF (IBGE)
bf_renda_per_capita,774,BRL_month,2025,28,Avg household per capita income of BF households
non_bf_renda_per_capita,2682,BRL_month,2025,28,Avg household per capita income of non-BF households
bf_avg_household_size_ibge,3.4,people,2025,28,Avg household size among BF recipients (IBGE)
exit_bf_edu_menos_fundamental,57.59,percent,2025,22,FGV Fig.9 exit rate
exit_bf_edu_fund_incompleto,62.04,percent,2025,22,FGV Fig.9 exit rate
exit_bf_edu_fund_completo,65.31,percent,2025,22,FGV Fig.9 exit rate
exit_bf_edu_medio_incompleto,66.03,percent,2025,22,FGV Fig.9 exit rate
exit_bf_edu_medio_mais,69.94,percent,2025,22,FGV Fig.9 exit rate
exit_bf_age_0_5,41.26,percent,2025,22,FGV Fig.1 exit rate
exit_bf_age_6_10,55.19,percent,2025,22,FGV Fig.1 exit rate
exit_bf_age_18_plus,63.46,percent,2025,22,FGV Fig.1 exit rate
exit_bf_occ_conta_propria,65.54,percent,2025,22,FGV Fig.8
exit_bf_occ_sem_carteira,57.51,percent,2025,22,FGV Fig.8
exit_bf_occ_sem_remuneracao,52.35,percent,2025,22,FGV Fig.8
